citationID,citationName,citedReferences
c169d4582a79bf4f6e24843a9683109c600eb9bd,Hybrid Visual and Optimal Elliptic Curve Cryptography for Medical Image Security in Iot,238b0af0f6134c6b541d770d3d2dbd13e4041852
e16ecbbde9c1bd4fc9b4cddfab48bd9dc0c71780,Blockchain-Based Internet-of-Things for Secure Transmission of Medical Data in Rural Areas,65bfd757ebd1712b2ed0fa3a0529b8aae1427f33
09d4c7def5f01a7d94ae918f26eca5d166bbbbfe,A Comprehensive Study On Medical Image Security Algorithms,238b0af0f6134c6b541d770d3d2dbd13e4041852
122880e74f71b9fdd96de4d69fb2c0d1dd83ea53,"The internet of medical things and artificial intelligence: trends, challenges, and opportunities",cddb22908f28a1636cbbdeb3a4f0e00f9cef05a9
073d760ce3a07c53702cb5588ebce55c177b9b24,Visual Presentation and Trend Derivation of the Medical Big Data Research based on a Multi-level Bibliometric Analysis,784da53ff6b575e11d4052cb1afe9fe4d36f6192
bf3c703dcb093736dad1ea9ba3eb4342bba0c38e,A Hybrid Cryptographic Algorithm for securing medical data in Cloud Computing Environment,4e164481df2f4317ad2552daf0be01b4c2af5531
5a4193ab6c595c6616c7283088985f1f6f440f9e,Cloud Computing Image Recognition System Assists the Construction of the Internet of Things Model of Administrative Management Event Parameters,4e164481df2f4317ad2552daf0be01b4c2af5531
92fbde316d6b03060c45ec42693a1d0a4745f015,Randomly Distorted Double Substitution Encryption Technique with Effective Block Diffusion and Chaos-Induced Noise,87ffea85fbf52e22e4808e1fcc9e40ead4ff7738
7b65c5c7ed89702760ebef0bce1499508036bcca,An Intelligent Session Key-Based Hybrid Lightweight Image Encryption Algorithm Using Logistic-Tent Map and Crossover Operator for Internet of Multimedia Things,1200379caead70832580292e0734bb8cd6500835$$@$$65bfd757ebd1712b2ed0fa3a0529b8aae1427f33
22f8e48a5484592d9fc65c27cf3da248b265f57a,Crypto-Stegno based model for securing medical information on IOMT platform,786e401e9532be0a2766ebdc9b57102245ab7e98$$@$$838c9196eba4a808340e5834d1079e07ec8415c9$$@$$8f43dae54397ca5372a9082ae7b0a69881695494$$@$$cddb22908f28a1636cbbdeb3a4f0e00f9cef05a9$$@$$cb9cd44b80031c0f4c1f49ac119c526a89d2f01b$$@$$65bfd757ebd1712b2ed0fa3a0529b8aae1427f33
a4681da9839f430f0990619b3435f609c8b3297d,Level set approach based on Parzen Window and floor of log for edge computing object segmentation in digital images,7f7fded59af48e17ace4c302a4039e21c2ce90d1
138b98396534350ca5961bb93d8d0b1b66a494b1,Analysis of design goals of cryptography algorithms based on different components,6e35104910093233102c553d622baac1b4d54c06
9a3d5bcd822828d5e03af5cafea233169429cd4b,Blockchain Enabled Emperor Penguin Optimizer Based Encryption Technique for Secure Image Management System,786e401e9532be0a2766ebdc9b57102245ab7e98$$@$$26dbb37b9dc3f5725e5925b8be11f99f709dd305
a786d7c5b90a90c727b90365bcb3b3ed894bf286,Secure content based image retrieval system using deep learning with multi share creation scheme in cloud environment,786e401e9532be0a2766ebdc9b57102245ab7e98
54dbc31dc6e1d71aa67fae26d52becdbbc165ad2,Security and provenance for Internet of Health Things: A systematic literature review,4e164481df2f4317ad2552daf0be01b4c2af5531$$@$$3cfa669b42a1e0e87bf3aca4d491039495ef87f8
1f38a60e37ab0793e0bdf4cb3d90d5f73d8af56b,Blockchain-assisted secure image transmission and diagnosis model on Internet of Medical Things Environment,b0811a7db068a62cea65ba701e2e95a7d7fee08a
