citationID,citationName,citedReferences
7669dd9cd33e35350e8efe5d1164ec62d5e25f6e,Finite-Time Synchronization for Switched Neural Networks via Quantized Feedback Control,90d9168b8c8f8e2ba87691dbfd86fcdfc38cdd16$$@$$e20bd4da30b1cff6faf87bb4d8dc229a2f04049a
8c3ff569e40afcdc4a265e4a8cd662ba901bbfd9,Finite-Time State Estimation for Delayed Neural Networks With Redundant Delayed Channels,3c81cbaff095301755753d6c649f483f9b68621f
601140858416b689c8c4d2c0bf9506f41cfeaaf2,Outlier-Resistant Remote State Estimation for Recurrent Neural Networks With Mixed Time-Delays,ccf2f0696c43c60f333fa32678507b1f37d252bd
4821981cc7c05e7eec7ca0bd6dbcc83a2211ab78,An observer‐based exponential synchronization scheme for chaotic systems: Using advanced encryption standard as auxiliary,89534b679be931193c75150b80d530f62f40ea29
7d3b68e2677613782807ad556b02b364a22d341f,"Exponential Stability, Passivity, and Dissipativity Analysis of Generalized Neural Networks With Mixed Time-Varying Delays",393321b2bbd0a3bf3943e53f23f3fa3b787660fb
9ba41734db8302f72408d9049149df9e7e7d0ed8,Fault reconstruction for delay systems via least squares and time‐shifted sliding mode observers,ccf2f0696c43c60f333fa32678507b1f37d252bd
0cc17ccf2614abaa4a03f4fc7096bd9adedd7935,Non-fragile synchronisation of mixed delayed neural networks with randomly occurring controller gain fluctuations,2b5405e8e6ce2548d86610f5d0c866f5cdb04206$$@$$7e6676df5e083c1dd3311b9c0ee39a7869ecf680$$@$$01c901bf60b992d6541d111e3e16d0f9fd3c0570$$@$$2ae363bafe42f4a21874be1d48e7774b1e67dfcb
0a671727e3a42dd5ab9346d881ead7392c5d1a13,Pinning Exponential Synchronization of Nonlinearly Coupled Neural Networks with Mixed Delays via Intermittent Control,2ae363bafe42f4a21874be1d48e7774b1e67dfcb$$@$$c098cbaf6e527fff6d3a39d35ebbd50eb965d50a
0f394fcfb3a3243cf7ec87f82962ac390268ce15,Variance-Constrained State Estimation for Complex Networks With Randomly Varying Topologies,2ae363bafe42f4a21874be1d48e7774b1e67dfcb
a4ea34eed685830c48122dd9a841eef8b62c9389,Synchronization Control of Riemann-Liouville Fractional Competitive Network Systems with Time-varying Delay and Different Time Scales,2ae363bafe42f4a21874be1d48e7774b1e67dfcb
00e049d550a75b94bfaac70adc16d9f02fa60dba,Finite-Time State Estimation for Recurrent Delayed Neural Networks With Component-Based Event-Triggering Protocol,91b101eb3de67273f4a6fc77da9dc63e37dab34f
b99b601aa339ba2f83a6b83f22b387a661117add,Neural Network-Based Passive Filtering for Delayed Neutral-Type Semi-Markovian Jump Systems,44a4800d6b5291d7fd157aceca4bcb4c63bd6e7c
40651c0638999ff245d875cf2576a73ace2d6bb9,Fuzzy Tracking Control for Nonlinear Networked Systems,12dc1733464ba9546ac77b6f8e524fd83bc39b4b
4d9cc1d5e9bb96dc0f168471e409298e45862d01,Delay-partitioning approach to stability analysis of state estimation for neutral-type neural networks with both time-varying delays and leakage term via sampled-data control,44a4800d6b5291d7fd157aceca4bcb4c63bd6e7c$$@$$907b337cd3a5f437b444e5a193b52d6704457abc$$@$$3c81cbaff095301755753d6c649f483f9b68621f$$@$$c098cbaf6e527fff6d3a39d35ebbd50eb965d50a
5c11127692c4e43d1e7a64f61b356ac59330bb96,Improved Stability and Stabilization Results for Stochastic Synchronization of Continuous-Time Semi-Markovian Jump Neural Networks With Time-Varying Delay,f872e996e52b3d01fd268ab61af5123f3a6a96da
fc1127205b8a963825c46403cd6f5fb2b7fe134a,State Estimation for Discrete-Time Dynamical Networks With Time-Varying Delays and Stochastic Disturbances Under the Round-Robin Protocol,3c81cbaff095301755753d6c649f483f9b68621f
2caa80ca52c9ab297b7e2f29e4cdf56e891f5a3f,Finite-Time H-Infinity Filter Design for Discrete Jump Time-Delay Neural Networks,44a4800d6b5291d7fd157aceca4bcb4c63bd6e7c$$@$$e20bd4da30b1cff6faf87bb4d8dc229a2f04049a
cb166ff05568bc2064cb12c5fe55354b5ed46b14,Dynamic IQC-Based Control of Uncertain LFT Systems With Time-Varying State Delay,c2ea86813725f31f617383fe4acfc28cba98f13a$$@$$c336a9f8e79773f8225d36b14005ecfc3659bd6b
3d58f070ffebe0a549bb5e7e218a18fd3d309832,Robust $H_{\infty }$ Self-Triggered Control of Networked Systems Under Packet Dropouts,12dc1733464ba9546ac77b6f8e524fd83bc39b4b
4154acc77356e5194c23843b2249b0841614570b,Exponential Stability for Neutral Stochastic Markov Systems With Time-Varying Delay and Its Applications,95d655f0efdeeeb5b08efab1d30281e7e56c9859
e191c306f3ca228f5e54c5e67ab9db3b5d20c8b4,Dissipativity Analysis for Discrete Time-Delay Fuzzy Neural Networks With Markovian Jumps,e20bd4da30b1cff6faf87bb4d8dc229a2f04049a
af8c9702f66b3169e71ec03aebff6b62c4cab9f9,Synchronization and State Estimation of a Class of Hierarchical Hybrid Neural Networks With Time-Varying Delays,44a4800d6b5291d7fd157aceca4bcb4c63bd6e7c
d9257d111573b4e40a99b08c1c5203535258c555,Synchronization for distributed parameter NNs with mixed delays via sampled-data control,ccf2f0696c43c60f333fa32678507b1f37d252bd$$@$$fc32adaf1cc4d4cf4ef7629caff6699eecb3983c$$@$$e20bd4da30b1cff6faf87bb4d8dc229a2f04049a$$@$$04dd5eb1bd4afcb134eba14c9fed8c220e38ae39
424861531b450f746087cfd3d23ded5ecc53ca04,Synchronization Analysis of Coupled Stochastic Neural Networks with On–Off Coupling and Time-Delay,fc32adaf1cc4d4cf4ef7629caff6699eecb3983c
2eada5960a1d7c81c91fc57b3892bb89019170cc,Pinning Synchronization in T–S Fuzzy Complex Networks With Partial and Discrete-Time Couplings,ccf2f0696c43c60f333fa32678507b1f37d252bd
f33d6c216946b25334ca860ab9f661f0f3c0eafb,Exponential H ∞ Synchronization of Chaotic Cryptosystems Using an Improved Genetic Algorithm,89534b679be931193c75150b80d530f62f40ea29$$@$$2ae363bafe42f4a21874be1d48e7774b1e67dfcb
688ba00f245537165ff187aba2a2764b71706de1,Fuzzy-Model-Based Quantized Guaranteed Cost Control of Nonlinear Networked Systems,2ae363bafe42f4a21874be1d48e7774b1e67dfcb$$@$$12dc1733464ba9546ac77b6f8e524fd83bc39b4b
