citationID,citationName,citedReferences
20cd51122da3521345f80c0075e7664cb4c216bd,Chapter 8 A naturopathy knowledge graph and recommendation system to boost the immune system KISS: Knowledge-based Immune System Suggestion,6fcb5ae3f26b85785004393be6bfd3327c67f1b5$$@$$34b49026d61b3c308bce9ba5cf4ae8305f09d0e2
1417473ead393296589648a0e745cb2dff009014,"A systematic review of healthcare recommender systems: Open issues, challenges, and techniques",d92689401ee861f27950cb7c54b68a2c72e91221$$@$$34b49026d61b3c308bce9ba5cf4ae8305f09d0e2
99558fff89a0226e52c390be6febd22171d7e889,A Fair and Safe Usage Drug Recommendation System in Medical Emergencies by a Stacked ANN,34b49026d61b3c308bce9ba5cf4ae8305f09d0e2
62b7670a045524508e8d72d87365987bcc6b9b9d,Self-supervised Calorie-aware Heterogeneous Graph Networks for Food Recommendation,6fcb5ae3f26b85785004393be6bfd3327c67f1b5
13290b54136361b86548e37841671a66d6a8566e,A hybrid IoT services recommender system using social IoT,a177bf28fc1febd59a17124afe5ba5b8da80cd5f$$@$$6fcb5ae3f26b85785004393be6bfd3327c67f1b5$$@$$34b49026d61b3c308bce9ba5cf4ae8305f09d0e2
ad1893bc8ae7a05452580ddcb11461894c3ab130,A bibliometric review on the development in e-tourism research,b3ec90cfadb90d7082df95e7aebf4f3c3f0775b3$$@$$16b2702004e44e6eef15000b8974f9f12785cda7$$@$$b367686e60db2f68102cd14b1360e9fc26a1757b$$@$$e9542f8611e52748573cbbae32cdfd59f1814fab$$@$$73bbe96611688a9517e99486ac3b7397caa8e729
fea403345782ef8f8a5564b5f5128abe1bd14fca,An Overview of IoT in Health Sectors,116b2bc7b7f9c78d0c5589e8c1f9f723253e6232
6c45a4d57be64d6c986751fc4969569f7dd9d6df,"A systematic review of IoT in healthcare: Applications, techniques, and trends",b895d46b20d0e9778e328370e5b1ecc03146fbb9
ea06982f11d808e7fff7c3bd63c941dd8b46f47f,Rank algorithm of web English educational resources based on fuzzy sets and RSS,d92689401ee861f27950cb7c54b68a2c72e91221
5341e4849d4e72ebc3135ae56785c339f63e77fe,"A Survey on Recommender Systems for Internet of Things: Techniques, Applications and Future Directions",34b49026d61b3c308bce9ba5cf4ae8305f09d0e2
bf783d5e05334bf1dc97343ed1dcd32c8eb0ed18,A socially motivating and environmentally friendly tour recommendation framework for tourist groups,d21665d0cc4e2a69cee88380323972c85ec87fb0
3bef9493d520ba967d867a83b2d7b4825fbe16aa,Aerobics player’s energy level monitoring using IoT,b895d46b20d0e9778e328370e5b1ecc03146fbb9
68cc95fc519ad11a095b66805fc1b289c5b04d9d,User Profiling in Travel Recommender System using Hybridization and Collaborative Method,b367686e60db2f68102cd14b1360e9fc26a1757b
d2de21c2f130856462185eac2eaff08de4c0e340,A privacy-aware deep learning framework for health recommendation system on analysis of big data,b895d46b20d0e9778e328370e5b1ecc03146fbb9$$@$$4959bc93879786e7e3c5c80db6430bb1acbeca4f
f72c216882d50df7e105b21c6ea47e7c36a90ce9,Analysis of using IoT Sensors in Healthcare units Supported by Cloud Computing,0fb6360d34ccf92605c731a279ee52be0e030dd9
ef301e369d39eb679a122f3ebd57e5961763a9c1,Content‐Based Recommender Systems,553f98f9cbd66249cccd9b8f310d9022d2ed148c$$@$$4959bc93879786e7e3c5c80db6430bb1acbeca4f
56f190e02b6335caa2e44674f72b5d2fce3bbf47,Computational model for generating interactions in conversational recommender system based on product functional requirements,a177bf28fc1febd59a17124afe5ba5b8da80cd5f$$@$$b3ec90cfadb90d7082df95e7aebf4f3c3f0775b3
5562df31a3c68907775b678b8c12affd9b176f4a,Challenges and opportunities in IoT healthcare systems: a systematic review,b895d46b20d0e9778e328370e5b1ecc03146fbb9
4b3cf2f92fbaaeac213d3305ab5c969a4b32a76c,A survey on semanticized and personalized health recommender systems,34b49026d61b3c308bce9ba5cf4ae8305f09d0e2
16b4d8404368a1f0e53ae229b8fab55f2dcc7547,Comparative Study of the Internet of Things Recommender System,a177bf28fc1febd59a17124afe5ba5b8da80cd5f$$@$$6fcb5ae3f26b85785004393be6bfd3327c67f1b5$$@$$4e97310f294b14942c11c1ae066a692e57d43a38
603cdccdeb18e6d481a0641e8e497d91da0e3ef6,Application of Collaborative Filtering Algorithm in Mathematical Expressions of User Personalized Information Recommendation,34b49026d61b3c308bce9ba5cf4ae8305f09d0e2
e0fbef456099662daa50f5d7e07c38b9836ac476,Hybrid Location-based Recommender System for Mobility and Travel Planning,34b49026d61b3c308bce9ba5cf4ae8305f09d0e2
f67d7a3bdde76ffe44237c7a3eaac31d4f3ef973,Hybrid Location-based Recommender System for Mobility and Travel Planning,34b49026d61b3c308bce9ba5cf4ae8305f09d0e2
78130ee1a43ecbef585b9f88eaba6d33b92df266,Integration of Recommendation Systems Into Connected Health for Effective Management of Chronic Diseases,34b49026d61b3c308bce9ba5cf4ae8305f09d0e2
0844445b56a981c2ce6cb4db61c5c3af51cdb477,Whirlpool Algorithm with Hash Function Based Watermarking Algorithm for the Secured Transmission of Digital Medical Images,d92689401ee861f27950cb7c54b68a2c72e91221$$@$$a4584baccf772622e5dfd57db4f19290ac5f0d73$$@$$97c7c6b575ca1f6c5e29ff7bcf98347150b258f1$$@$$b895d46b20d0e9778e328370e5b1ecc03146fbb9$$@$$e77c68817aec18937e22ac86f99c120604678cdf$$@$$6757c9809c6b36e8ac96261ecaf19c9eb681d03f$$@$$0811639fe6f2366227d1ff86cefc61f47b6f9b26$$@$$553f98f9cbd66249cccd9b8f310d9022d2ed148c$$@$$1ffe3f80db29aeb4dca19faa66938e8e0a6d9c0f$$@$$30beb7e1abbded13202dd74ed545b691eab88679$$@$$8da324b3d5537d6db3412aecd952d96d0a51e2e3$$@$$4959bc93879786e7e3c5c80db6430bb1acbeca4f$$@$$55f7a8b8542004a3562d2f1f2656100655d41823$$@$$71c73d8ae7242cd8ec18b16b8169606b135eeecc$$@$$964b1d8818ec034d6c9cc59fcca14110cd0f5d21$$@$$34832efde579aa92169a7252f01ee1fcaff8f451$$@$$399c7a78bf72ce0120237b72ca2e438d0b1c7595$$@$$850b8699bd6e257942bd332b4e4af7e3ef50ea86$$@$$25c7f7ea554d0bd0253004a4dec6337bbb2cb3b8
