citationID,citationName,citedReferences
66a28c343220bb10563d865bc1a8ff05cb0c2723,Influence of porosity and cement grade on concrete mechanical properties,a347f937fcc096c7e6ee6a18c658911916359373$$@$$25639e4b9488e982914dd862f77a5a77e0021f09$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c$$@$$13e3ffd0e97b8dd11564172c04355f578b6e8518$$@$$07c2763f31c28e49a0a7d22fad0548db27b3cb91$$@$$645b9d86189bfcdd9718759542ca49548cd79f44
0f91bd05d8e6df0d6aa25fa71c02a0f0315be379,Nonlocal dynamic modeling of mass sensors consisting of graphene sheets based on strain gradient theory,a347f937fcc096c7e6ee6a18c658911916359373$$@$$25639e4b9488e982914dd862f77a5a77e0021f09$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c$$@$$13e3ffd0e97b8dd11564172c04355f578b6e8518$$@$$07c2763f31c28e49a0a7d22fad0548db27b3cb91$$@$$645b9d86189bfcdd9718759542ca49548cd79f44
5ea3a1b21a52b45154189ee56c0bc7ee85832fa3,Computational parameter identification of strongest influence on the shear resistance of reinforced concrete beams by fiber reinforcement polymer,645b9d86189bfcdd9718759542ca49548cd79f44$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c$$@$$07c2763f31c28e49a0a7d22fad0548db27b3cb91$$@$$25639e4b9488e982914dd862f77a5a77e0021f09
28f206301696a9ff2bed9a043ad1a78813126413,Experimental study on shaped steel shear connectors used in large-scale composite structures,645b9d86189bfcdd9718759542ca49548cd79f44$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c$$@$$25639e4b9488e982914dd862f77a5a77e0021f09
830ee8d8767d55403c5ce63ccc149302547db816,Application of extreme learning machine in behavior of beam to column connections,25639e4b9488e982914dd862f77a5a77e0021f09$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c$$@$$645b9d86189bfcdd9718759542ca49548cd79f44$$@$$07c2763f31c28e49a0a7d22fad0548db27b3cb91$$@$$f2df0c1026ffa474f603a535e48e5c115d3d8629$$@$$cbdb093c51072f696503975c73880a9dd3a44bcf
f4f96885d5f027d8ece858a1ecfb7179f4dc8905,Performance assessment of buckling restrained brace with tubular profile,a347f937fcc096c7e6ee6a18c658911916359373$$@$$25639e4b9488e982914dd862f77a5a77e0021f09$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c$$@$$07c2763f31c28e49a0a7d22fad0548db27b3cb91$$@$$645b9d86189bfcdd9718759542ca49548cd79f44
13173e1139950c24d0c56da5d5364e17d02bbb28,Elevated temperature resistance of concrete columns with axial loading,a347f937fcc096c7e6ee6a18c658911916359373$$@$$25639e4b9488e982914dd862f77a5a77e0021f09$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c$$@$$07c2763f31c28e49a0a7d22fad0548db27b3cb91$$@$$645b9d86189bfcdd9718759542ca49548cd79f44
ae6689714864daeb16ad6ddf8213acf5fe3da227,A novel approach to predict shear strength of tilted angle connectors using artificial intelligence techniques,a347f937fcc096c7e6ee6a18c658911916359373$$@$$25639e4b9488e982914dd862f77a5a77e0021f09$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c$$@$$645b9d86189bfcdd9718759542ca49548cd79f44$$@$$07c2763f31c28e49a0a7d22fad0548db27b3cb91$$@$$f2df0c1026ffa474f603a535e48e5c115d3d8629
2a4897b79752453112c67d53a5a3a58a0bf9efce,Experimental investigation on the effect of cementitious materials on fresh and mechanical properties of self-consolidating concrete,a347f937fcc096c7e6ee6a18c658911916359373$$@$$25639e4b9488e982914dd862f77a5a77e0021f09$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c$$@$$13e3ffd0e97b8dd11564172c04355f578b6e8518$$@$$07c2763f31c28e49a0a7d22fad0548db27b3cb91$$@$$645b9d86189bfcdd9718759542ca49548cd79f44
d540027f75fb8d39fbf1418a632588213f7c86cb,Analysis of the Seismic Performance of a Two-Span Specially Shaped Column Frame,13e3ffd0e97b8dd11564172c04355f578b6e8518$$@$$a347f937fcc096c7e6ee6a18c658911916359373$$@$$07c2763f31c28e49a0a7d22fad0548db27b3cb91
822bc6f1b048fdb63c8958d8fc8eba718c9dfe9c,Computational optimized finite element modelling of mechanical interaction of concrete with fiber reinforced polymer,a347f937fcc096c7e6ee6a18c658911916359373$$@$$25639e4b9488e982914dd862f77a5a77e0021f09$$@$$01ea81abfc008069d0bda99a2558126badeb3a3c$$@$$13e3ffd0e97b8dd11564172c04355f578b6e8518$$@$$07c2763f31c28e49a0a7d22fad0548db27b3cb91$$@$$645b9d86189bfcdd9718759542ca49548cd79f44
