citationID,citationName,citedReferences
fd8678da2a5694e54caba6947f0881b47b3c01f5,Rethinking Green Supply Chain Management Practices Impact on Company Performance: A Close-Up Insight,190968e6d13a0dedd8c927a7c862422183dc91b3$$@$$7197af84e1b9af94b174c2b75c8ea07cc4d18c47$$@$$91a656e40a2e33935a0ab7e8a311718076569e2b
d7aefd09dc71365f81d518c8f9f967e64b8c655e,Smart green supply chain management: a configurational approach to enhance green performance through digital transformation,91a656e40a2e33935a0ab7e8a311718076569e2b
75ae444ff8d57792a4b4cbf5f419b7106844c262,New multi-criteria decision-making technique based on neutrosophic axiomatic design,a71a45ef43ba5f831297ca400b0cf17b50958fda
b8b9ec2afdb97056983edcc19833a0139d8d92a5,Influence of Environmental Regulation on Corporate Green Supply Chain Management: The Regulating Effect of Environmental Dynamism,e22a0fd8b651da459f6abeffff8c98fd3f5849c9
42850bdf4d58153e7ca9fa70e463addea559be90,Effect of Green Supply Chain Practices on Sustainable Performance Indicators: a Fuzzy MADM Approach,7877f5abe11cdcd963ca124ea773f34e5c4d3a2b
7fab5ed03f6fe237602997ec5e425615c44b1333,Examining the barriers to operationalization of humanitarian supply chains: lessons learned from COVID-19 crisis,99a1f72367e272c331b054230b813cb6c1e2776d
4eee69b1b61e444b449bacb7379bd468c0e3d590,Challenges and pathways to green supply chain management: Evidence from manufacturing sectors in an emerging economy,eaa5d29f6392afcad519de1c3935c04679aa895b
cd3901b7bdd65e148555f90b5ce3aed6dc4f20eb,Assessment of the Endorsers of E-Business Practices for Food Supply Chain Performance Systems,079fe929aff5b73e1f96cc0636df85eb10d72032$$@$$1cb289d9d1b7c5436b3a213676fa3967da1db9cc
201c84c5f0af882bf8349bc0c337713fcf548c9d,Green supply chain management implementation: modeling the green supply chain practices (GSCPs),7877f5abe11cdcd963ca124ea773f34e5c4d3a2b
545a3e65d899b4bd224c593983eb28f37e393dd9,Green Supply Chain Management: uma revisão sistemática integrativa dos estudos publicados,eaa5d29f6392afcad519de1c3935c04679aa895b$$@$$e22a0fd8b651da459f6abeffff8c98fd3f5849c9$$@$$91a656e40a2e33935a0ab7e8a311718076569e2b
675e3f6fa61918cc23ac958020ef71aa63239908,Performance evaluation of green logistics: paving the way towards circular economy,190968e6d13a0dedd8c927a7c862422183dc91b3$$@$$e22a0fd8b651da459f6abeffff8c98fd3f5849c9$$@$$7877f5abe11cdcd963ca124ea773f34e5c4d3a2b
1ac97b9400b2cb86dfcee4b8b9ecb482b0b1a042,Effect of total quality management on business sustainability: the mediating role of green supply chain management practices,60c6b6c9efebe67285b9b4bd8118ad7198d69c30$$@$$190968e6d13a0dedd8c927a7c862422183dc91b3$$@$$e22a0fd8b651da459f6abeffff8c98fd3f5849c9$$@$$91a656e40a2e33935a0ab7e8a311718076569e2b
4ded2b1b586f2342ab8cdf70721cde5acac6f737,Correlated Proportions Test under Indeterminacy,"Neutrosophic Probability, Set, and Logic, ProQuest Information & Learning"
b41de828b2b50abe0657cf2951dc5ac9ff2492c7,Evaluation and selection strategy for green supply chain using interval-valued q-rung orthopair fuzzy combinative distance-based assessment,eaa5d29f6392afcad519de1c3935c04679aa895b$$@$$e22a0fd8b651da459f6abeffff8c98fd3f5849c9$$@$$7877f5abe11cdcd963ca124ea773f34e5c4d3a2b$$@$$eb95777acd9e8f70c835a03662019493018ebf63$$@$$8d05bed68f707f0fca96f5137c5e6c44976d9e6c$$@$$7197af84e1b9af94b174c2b75c8ea07cc4d18c47
b593778025b7a1205c523b85b8b278c5b0e5d141,The role of big data for Supply Chain 4.0 in manufacturing organisations of developing countries,82fdfcda54cf136f1c4c75bfeb3d0ef8135dd8ba
3363156964052de9b6ade061437e0e9495aaac93,Neutrosophic variational inequalities with applications in decision-making,99a1f72367e272c331b054230b813cb6c1e2776d
1cb43b76b852cf7c4025a632d73922c7316de57f,Development of a hybrid multi-criteria decision-making approach for sustainability evaluation of bioenergy production technologies: A case study,99a1f72367e272c331b054230b813cb6c1e2776d
e438b17a9c1c171846a2df0af373f79a3b1a9da4,Generalized Weighted Exponential Similarity Measures of Single Valued Neutrosophic Sets,a71a45ef43ba5f831297ca400b0cf17b50958fda
89b61acd06db745b47b1e9ed592d3d795ca59f72,Normality Test of Temperature in Jeddah City Using Cochran’s Test Under Indeterminacy,99a1f72367e272c331b054230b813cb6c1e2776d
ea3bf16a7f209635495c1becb920aee18a5415b1,"Linear and Non-Linear Octagonal Neutrosophic Numbers: Its Representation, α-Cut and Applications",99a1f72367e272c331b054230b813cb6c1e2776d
