citationID,citationName,citedReferences
329010f2b088371ac27ec295c3e39bd9c498dfa9,Stabilization Criteria for T–S Fuzzy Systems With Multiplicative Sampled-Data Control Gain Uncertainties,b56835e272c8df27a8f8a531375f1bef756dafd6
03ac235407e0be7d7c9f4f78c47bf45f960e2167,"Decentralized sampled-data <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si43.svg""><mml:mrow><mml:msub><mml:mrow><mml:mi>H</mml:mi></mml:mrow><mml:mrow><mml:mi>∞</mml:mi></mml:mrow></mml:msub></mml:mrow></mml:math> fuzzy filtering with exponential time-varying gains for nonlinear ",e24439e295c9817bf50fa88555b59839a28c850d
456d6d8b86dc0e7045817c9ae27c433f084f96b4,Admissibility Analysis of a Sampled-Data Singular System Based on the Input Delay Approach,77c8cf9a49cb5efc03dba5d87de1cbff28bf04e5
7466eda43a6ee5d42af1663125a3f501e4cdb413,Improved sampled data fuzzy controller for nonlinear system: The event‐triggered approach,3c2988cf8190168fab5012c44d5c788de9953c76$$@$$c5d01cbe2a17eff3d66797546ea4456bee83487a$$@$$216fde698e8e6282701043d0011fd36fe967fd3a
14cb95fd522541f9d76d219c2e6867faa0c68d0f,Event-Triggered Sliding Mode Control of Fuzzy Systems via Artificial Time-Delay Estimation,5860aacaceecea47f4c1eb104c080bd8497bc4b2
b19bcba765ac155b40697bc414ccdeb4453d1e9b,Stochastic Sampled-Data Exponential Synchronization of Markovian Jump Neural Networks With Time-Varying Delays,f99e14e63020c2200d641907cb153c589072b10d
008d8dec07cefe4fec91afe40dcb3730be2c8488,Mixed H∞ and passivity analysis for T-S fuzzy system with non-fragile memory sampled-data control via augment Lyapunov-Krasovskii functional,4358f5ffb772c16db1a1afb4e9fbb10563395580$$@$$09c0306e313c11c458eda5ef07bb4ec74ab9d6fe$$@$$d79eeb61bc8960242550234e7a801d6863c58aec
d21cf5f80afaeb8408677ffd044f54dacbf5a09e,Design of H∞-based sampled-data control for fuzzy Markov jump systems with stochastic sampling,2e43acfd87b0301c98957b5c0f74c66d90303745$$@$$b56835e272c8df27a8f8a531375f1bef756dafd6$$@$$4ac0ef1a39e5ce282219dbb7236f973ee1408d66
800f31666450369ebd818d41c21be7308341cbed,Fuzzy Adaptive Event-Triggered Sampled-Data Control for Stabilization of T–S Fuzzy Memristive Neural Networks With Reaction–Diffusion Terms,f99e14e63020c2200d641907cb153c589072b10d$$@$$ca7efc65f24b6ee3b9e8c30aa684c40327a611a2
78bdb579bf1ed85a73da8342a987f76b8a455fb6,Sampled-data fuzzy observer design for nonlinear systems with a nonlinear output equation under measurement quantization,e24439e295c9817bf50fa88555b59839a28c850d$$@$$5cb9fe3c7a659883756c755c0f3e788c9c5ad7e9$$@$$8b3706470bbfd8911af9d9b66946187862e0e1a2$$@$$b56835e272c8df27a8f8a531375f1bef756dafd6$$@$$4358f5ffb772c16db1a1afb4e9fbb10563395580$$@$$e6109875e66958d750e5db4f27d66d72b12a9cc3$$@$$f99e14e63020c2200d641907cb153c589072b10d$$@$$d79eeb61bc8960242550234e7a801d6863c58aec
