citationID,citationName,citedReferences
7589ec6132abaeeb97836f853d85677f1219125e,A multi-attribute decision-making framework for enterprise competitive intelligence system evaluation with 2-tuple linguistic neutrosophic information,599eec36cd56f2ab13cece160baa5b5fc12220af
0e551e255674316c70a7de3a20c40738a2adc319,Sustailient supplier selection using neutrosophic best–worst approach: a case study of additively manufactured trinkets,b31aa0b60875ea0e0d7f2aeffc93ace4e18ed3da$$@$$99a1f72367e272c331b054230b813cb6c1e2776d$$@$$8f8b30774d528e5af47a5afb8caccef951f232f4$$@$$6651ce77e91aa947d368b210e6e542b908df0fb9
66a8f0f021ae45f3139e08825ef1696e4546fc9a,INTRODUCING ALTERNATIVES RANKING WITH ELECTED NOMINEE (ARWEN) METHOD: A CASE STUDY OF SUPPLIER SELECTION,559516fb863faf57e1d9b563e39b2e203f91563b
a5a95216b2eec5c9d78eb87929df3707ecd7f96f,A hybrid mathematical model for international target market decision: the case of fibreboard industry,d86a84ef098d32d89ee93dd0e812d0c763774616
3e44ad9c8be0fe98adafcbf6da8357f6d520a5af,A hybrid DEMATEL-COPRAS method using interval-valued probabilistic linguistic term set for sustainable hydrogen fuel cell supplier of new energy vehicles,ac9fddbe3a58b9775722835d688d99f28d0b1461
7e2b0555a9f90d941ceb5a5a31935f3616a0f4c6,Modified Cross-entropy method for evaluating the higher vocational education management quality under the fuzzy number intuitionistic fuzzy sets,b31aa0b60875ea0e0d7f2aeffc93ace4e18ed3da
7bc3f3ff9ccd7636a563c0fea578ffa93bb451ca,A novel MADM algorithm for teaching quality evaluation of college volleyball training based on 2-tuple linguistic neutrosophic numbers information operators,599eec36cd56f2ab13cece160baa5b5fc12220af
4833dffe9dc240618e0a121a38d6b637fd1535b5,An MAGDM approach with 2-tuple linguistic neutrosophic number for mental health education evaluation of college students,599eec36cd56f2ab13cece160baa5b5fc12220af
f5aa0fafc8b518a0d398017b1a7c219401dc1ced,Intelligent decision methodology for business English teaching quality evaluation based on GHM and PG operators with 2-tuple linguistic neutrosophic numbers,599eec36cd56f2ab13cece160baa5b5fc12220af
926646a14d17a5b69bf06ed059ad205834bc301b,Analysis of supplier evaluation and selection strategies for sustainable collaboration: A combined approach of best–worst method and TOmada de Decisao Interativa Multicriterio,99a1f72367e272c331b054230b813cb6c1e2776d$$@$$039d7acea6f73e6187ecc2b69e8eec6b2011aea5
e148fa0b3b31df4ecfa921015a9a01038c03625f,A novel MADM-based efficient methodology with 2-tuple linguistic neutrosophic numbers and applications to physical education teaching quality evaluation,599eec36cd56f2ab13cece160baa5b5fc12220af
