citationID,citationName,citedReferences
d07018e290563f1d807f2d95d98a72c0a40b42f1,Sampled-data control of fuzzy systems,331ace8e416d66e4187b4158456515a7add3f0b7
9f6e2d365746e6b6d8836ea7ba14508ba767f996,Fuzzy switching function-based sliding mode controller design for T-S fuzzy descriptor systems,a2eba797d94b65492eee274117816ee6c92a1077$$@$$f08971b346763aee433200e5814ba00d7fe44e8c
9c544436a2bb673daa108766b59dff1827df7651,Membership functions dependent adaptive sliding mode fault‐tolerant control for uncertain T–S fuzzy systems with performance bounds,c3e5e7dc1cd3157c3f7e48881ac70af7574d510b$$@$$d79eeb61bc8960242550234e7a801d6863c58aec$$@$$f08971b346763aee433200e5814ba00d7fe44e8c$$@$$331ace8e416d66e4187b4158456515a7add3f0b7
345fdb9bf817e47e53dfb5d81b04511fe3fce687,Robust fault-tolerant control design for polynomial fuzzy systems,d79eeb61bc8960242550234e7a801d6863c58aec
6e307e86082110ecebe29bf673570f0f42112f36,Fixed-time integral sliding mode control design for a class of uncertain nonlinear systems based on a novel fixed-time stability condition,a798b5a2623c337133a472354a1e5ca88332d1b5
d588e77ec54867b9c234bc3e45cf49c0312a67d2,Fixed-time Disturbance Observer-based Sliding Mode Control for Mismatched Uncertain Systems,96d21f9ba6d7dd9cae2138e2ea142ef098c70cc2
f26ab6cdbddd368cb6772233eeeb4a7a0353a753,Sliding mode predictive control: A survey,6cd4a66cf6158458653fcac6c7b703612a6201d5
0cb8b72b9051b118a7c3440a34c15c080f7c37ae,Robust Adaptive Neural Sliding Mode Method for Coupled-Tank System Intelligent Control,a798b5a2623c337133a472354a1e5ca88332d1b5$$@$$970aca534f6cc7a1f5de71a3a957d8a6e75742c6
f47f82cafbf0b1072485702f3327e130729d3fca,Cooperative control problem of Takagi-Sugeno fuzzy multiagent systems via observer based distributed adaptive sliding mode control,d79eeb61bc8960242550234e7a801d6863c58aec
5af1ddc14b5d3cd71fdd7d6802d438c22b3edc9e,Enhanced Stabilization of Discrete-Time Takagi–Sugeno Fuzzy Systems Based on a Comprehensive Real-Time Scheduling Model,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$5860aacaceecea47f4c1eb104c080bd8497bc4b2$$@$$be67cb637a7d6214185d75d7ab58579905f7e953
b5ee161bff8c3385626c1ce7a52b95dc3771ff37,Event-triggered-based adaptive sliding mode control for networked linear control systems,c3e5e7dc1cd3157c3f7e48881ac70af7574d510b$$@$$5860aacaceecea47f4c1eb104c080bd8497bc4b2
fdc0b7e73d1c0c10a884fcfaa05796b4479dbc26,Asynchronous Output Feedback Control for a Class of Conic-Type Nonlinear Hidden Markov Jump Systems Within a Finite-Time Interval,a798b5a2623c337133a472354a1e5ca88332d1b5
67007e5e7a310a641f1397b5086643cf5400a2b3,Adaptive Sliding Mode Fault-Tolerant Fuzzy Tracking Control With Application to Unmanned Marine Vehicles,c3e5e7dc1cd3157c3f7e48881ac70af7574d510b$$@$$d79eeb61bc8960242550234e7a801d6863c58aec$$@$$e3ac956517264b2a445bf444ce4f65dce9fdd203$$@$$eea634d65d6aadc6979b8f49bb7e95edef8d20df
19db43b4cd62ab377f879ed2d3490a53f44f7ce7,Admissibility Analysis and Control Synthesis for Polynomial Fuzzy Singular Systems via Line Integral Fuzzy Lyapunov Function,331ace8e416d66e4187b4158456515a7add3f0b7
008d8dec07cefe4fec91afe40dcb3730be2c8488,Mixed H∞ and passivity analysis for T-S fuzzy system with non-fragile memory sampled-data control via augment Lyapunov-Krasovskii functional,d79eeb61bc8960242550234e7a801d6863c58aec
d21cf5f80afaeb8408677ffd044f54dacbf5a09e,Design of H∞-based sampled-data control for fuzzy Markov jump systems with stochastic sampling,96d21f9ba6d7dd9cae2138e2ea142ef098c70cc2
67e787b5737a540242e16e4c95515e213acae434,Distributed Adaptive Sliding Mode Control for Takagi-Sugeno Fuzzy Multiagent Systems,d79eeb61bc8960242550234e7a801d6863c58aec
0f70da01b08b4bc4d0935330a9d9fc442788ee05,Disturbance observer based adaptive fuzzy sliding mode control: A dynamic sliding surface approach,5654e6ae4ce36e1fde086760232ca368f188c948$$@$$e3ac956517264b2a445bf444ce4f65dce9fdd203$$@$$f08971b346763aee433200e5814ba00d7fe44e8c$$@$$13007ba9d2330213d101323722095c3a4433c797
ae768ff4dca205145cb8801275052074590021aa,Dissipativity-Based Composite Antidisturbance Control for T–S Fuzzy Switched Stochastic Nonlinear Systems Subjected to Multisource Disturbances,81a1440730cf6ee9d9552917dc438faf911b5330$$@$$be67cb637a7d6214185d75d7ab58579905f7e953$$@$$d79eeb61bc8960242550234e7a801d6863c58aec$$@$$eea634d65d6aadc6979b8f49bb7e95edef8d20df
1b6dc315d9170a0ab4ad8ee3d22897e027ecca11,Design of Observer-Based Event-Triggered Fuzzy ISMC for T–S Fuzzy Model and its Application to PMSG,c3e5e7dc1cd3157c3f7e48881ac70af7574d510b$$@$$5654e6ae4ce36e1fde086760232ca368f188c948$$@$$331ace8e416d66e4187b4158456515a7add3f0b7
c3b20d0a1c1d0be8278259a2de64730d348166dc,Stability and stabilization for uncertain fuzzy system with sampled-data control and state quantization,5860aacaceecea47f4c1eb104c080bd8497bc4b2$$@$$3c2988cf8190168fab5012c44d5c788de9953c76
76b0aab2749d2e59da6b009b8dd402181cd29ae1,Dissipativity-Based Fuzzy Integral Sliding Mode Control of Nonlinear Stochastic Systems,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$af301f783497694a756da20b2b267d058f8c708e$$@$$331ace8e416d66e4187b4158456515a7add3f0b7
62a5c8948d1b9e9f30ec1f2e83d8bc3bdd372ff2,Dimensional-varying integral sliding mode controller design for uncertain Takagi-Sugeno fuzzy systems,d79eeb61bc8960242550234e7a801d6863c58aec$$@$$e3ac956517264b2a445bf444ce4f65dce9fdd203$$@$$eea634d65d6aadc6979b8f49bb7e95edef8d20df$$@$$f08971b346763aee433200e5814ba00d7fe44e8c$$@$$5860aacaceecea47f4c1eb104c080bd8497bc4b2
0b0563d0be1c4406b15d992dbad89ef9640c913d,Green Supply Chain Network Optimization Under Random and Fuzzy Environment,d79eeb61bc8960242550234e7a801d6863c58aec
d8125ed1abcd6f299370051ec56c2470bb9521a7,Green Supply Chain Network Optimization Under Random and Fuzzy Environment,d79eeb61bc8960242550234e7a801d6863c58aec
