citationID,citationName,citedReferences
7c4da3bbe0fb898518158782cf69e4a159d1af00,Küresel Bulanık Sayılara Dayalı TOPSIS Tekniğiyle Yeşil Tedarikçi Seçimi,6c1cc9bf1e287a577b69a03fa810f1eb4dcc4af0
7458df745ad2492271a4a3bafe43532b96a1d4b4,A novel two-phase group decision-making model for circular supplier selection under picture fuzzy environment,b507a50481cbf9606e9cc97d13aa87dcc7ce9f86$$@$$887da64c4932ab97ccee750614e48647b408db7c
6e65a5d17a366740083567c8151f28d6ce8e4c44,EDAS ve WASPAS yöntemleriyle tıbbi malzeme tedarikçisi belirleme,99a1f72367e272c331b054230b813cb6c1e2776d
34ad4c9cf8a64cdf54fd1ec97dcd266d894b638c,The sourcing decision-making process in the era of digitalization: A new quantitative methodology,887da64c4932ab97ccee750614e48647b408db7c
21598c1a3bda4ac19c6b2829c9bea818d95775eb,Grey relational analysis method for typhoon vulnerability assessment of civil engineering structures based on the 2-tuple linguistic neutrosophic number,04e2e60534316a3d00943c3289a757137917df63
d3100c3ac73b0133906fcbdeb493de6da67a6c01,A Hybrid OPA and Fuzzy MARCOS Methodology for Sustainable Supplier Selection with Technology 4.0 Evaluation,887da64c4932ab97ccee750614e48647b408db7c
fd04c2e13d3caa99cb078565737f25b7996b9adf,Method for 2-tuple linguistic neutrosophic number MAGDM and applications to physical education teaching quality evaluation in colleges and universities,599eec36cd56f2ab13cece160baa5b5fc12220af
12c9f4ff47af01ba8938a2589803cc8b6274613f,Circular Supplier Selection in the Construction Industry: A Sustainability Perspective for the Emerging Economies,ac9fddbe3a58b9775722835d688d99f28d0b1461
83fac5d59a11ee8c27d1dd5f397cdae4a45330e7,A Decision-Making Framework for University Student Sports Study Psychological Healthy Evaluation with 2-Tuple Linguistic Neutrosophic Numbers,04e2e60534316a3d00943c3289a757137917df63
5de2386d1682ff7ef5c5d842d33b9abc90258e41,The Homogeneous MADM Methods: Is Trade-Off between Attributes Important?,97035e4f1089c938ad04bc6ce7d3e492b8a70cdd$$@$$ac9fddbe3a58b9775722835d688d99f28d0b1461
c2bef3b3cf2a0e937086cfc7b21c75d740b4f290,Performance evaluation of family business strategic transition based on the 2-tuple linguistic neutrosophic number multiple attribute group decision making,599eec36cd56f2ab13cece160baa5b5fc12220af
68030ba8c5e295e805c919b1a774e7fde8046dd9,An intelligent decision methodology for physical health evaluation of college students based on generalized 2-tuple linguistic neutrosophic geometric HM operators,599eec36cd56f2ab13cece160baa5b5fc12220af
069d66c06c590010d5c23a63939e838dfd562155,Non-linear Neutrosophic Numbers and Its Application to Multiple Criteria Performance Assessment,04e2e60534316a3d00943c3289a757137917df63
5b3ca1f35b0b84dbeef10fa29ea19dd33fa40696,Incorporating management opinion in green supplier selection model using quality function deployment and interactive fuzzy programming,6c1cc9bf1e287a577b69a03fa810f1eb4dcc4af0$$@$$887da64c4932ab97ccee750614e48647b408db7c
